planet_name,koi_period,koi_duration,koi_depth,koi_prad,koi_srad,koi_model_snr,koi_impact,koi_steff,koi_slogg,koi_teq,koi_insol,koi_disposition
9602613,7.57299816,2.645,30.2,0.53,0.961,10.9,0.411,5495.0,4.442,875.0,138.36,CANDIDATE
7584650,3.95383243,2.37,,,,,,,,,,FALSE POSITIVE
9758089,32.376183,4.4639,745.4,2.26,0.675,34.2,0.896,4580.0,4.641,392.0,5.61,CONFIRMED
10005758,284.063137,8.297,1628.1,6.36,1.336,53.5,0.888,5791.0,4.185,321.0,2.51,CONFIRMED
9823564,129.68366098,7.86,,,,,,,,,,FALSE POSITIVE
9532424,4.30908594,1.52,160.8,1.62,1.097,17.0,0.871,5754.0,4.348,1172.0,445.13,FALSE POSITIVE
9950316,57.104588,11.5,144.3,0.98,0.821,9.3,0.087,5637.0,4.564,425.0,7.74,FALSE POSITIVE
6028860,0.422015793,1.23416,1291.9,6.69,0.777,304.4,1.017,5614.0,4.587,2136.0,4962.18,FALSE POSITIVE
6778019,0.945825494,1.8496,104.7,1.14,1.084,22.1,0.522,6116.0,4.44,1989.0,3715.61,FALSE POSITIVE
4571536,0.676715927,0.63,264.5,1.29,0.733,14.5,0.652,5334.0,4.56,1735.0,2135.8,FALSE POSITIVE
10904004,4.64490141,2.456,106.4,0.76,0.77,11.7,0.058,4786.0,4.54,832.0,113.62,CANDIDATE
3336283,0.576441813,2.027,60.8,0.82,1.038,21.2,0.061,6459.0,4.425,2471.0,8812.63,FALSE POSITIVE
5695904,0.423854275,1.0198,235.3,0.58,0.368,33.3,0.449,3553.0,4.887,1062.0,301.79,FALSE POSITIVE
1725415,2.43731228,1.89,,,,,,,,,,FALSE POSITIVE
11304987,0.692693892,1.2804,1433.7,32.44,0.964,146.7,1.265,5907.0,4.49,2050.0,4160.84,FALSE POSITIVE
11709423,0.768934934,1.216,846.8,4.09,0.777,58.9,0.989,5390.0,4.535,1713.0,2026.85,FALSE POSITIVE
8758136,0.998212785,2.489,118.8,1.1,0.988,18.8,0.436,6072.0,4.47,1888.0,2998.77,FALSE POSITIVE
12405333,0.764863517,1.16,150.2,1.04,0.86,13.6,0.235,5231.0,4.476,1733.0,2145.14,CONFIRMED
10617638,0.710894157,1.0183,122.6,1.16,1.049,18.9,0.134,5862.0,4.424,2098.0,4599.89,FALSE POSITIVE
12833566,0.537839241,2.169,23.5,1.49,3.03,12.4,0.2589,6456.0,3.659,4061.0,64294.62,FALSE POSITIVE
9153554,0.373684977,0.9621,456.8,2.25,0.908,53.8,0.86,5970.0,4.521,2490.0,9009.0,FALSE POSITIVE
8161830,1.10118564,5.2,,,,,,,,,,FALSE POSITIVE
6461850,0.544962596,1.085,247.9,1.03,0.639,18.3,0.459,5257.0,4.675,1719.0,2074.18,FALSE POSITIVE
7613246,0.769127296,0.998,114.6,0.9,0.831,17.0,0.067,6024.0,4.561,1917.0,3179.14,FALSE POSITIVE
11551715,225.56791218,6.31,,,,,,,,,,FALSE POSITIVE
2715695,4.09578199,1.704,405.5,1.64,0.742,11.9,0.752,4791.0,4.577,851.0,124.3,CONFIRMED
11442793,91.9401253,9.195,482.9,2.62,1.2,34.4,0.025,5970.0,4.317,450.0,9.71,CONFIRMED
6312171,92.57337995,8.45,,,,,,,,,,FALSE POSITIVE
10665043,185.0097245,17.96,,,,,,,,,,FALSE POSITIVE
12352520,4.5770016,0.949,710.0,1.33,0.497,18.0,0.327,3805.0,4.767,567.0,24.38,CONFIRMED
7455981,14.4540329,7.183,79.7,0.72,0.79,17.2,0.522,5559.0,4.496,676.0,49.51,CONFIRMED
7107561,0.812587678,1.1144,62.9,1.54,1.877,21.7,0.515,6143.0,4.009,2717.0,12840.3,FALSE POSITIVE
9605552,9.3210841,1.81,294.2,0.61,0.35,6.1,0.0815,3773.0,4.925,394.0,5.67,CANDIDATE
11237332,19.3073774,3.437,31.7,1.21,2.142,6.6,0.0275,6131.0,3.776,1054.0,292.25,FALSE POSITIVE
8669092,1.000840564,1.3292,2714.4,80.25,3.177,73.2,1.165,6287.0,3.558,3367.0,30248.83,FALSE POSITIVE
5474613,13.6164547,5.175,376.1,22.29,0.972,22.6,1.19,5823.0,4.472,755.0,76.81,CONFIRMED
9823519,1.766789509,1.3345,1009.8,1.4,0.444,26.7,0.066,3698.0,4.81,730.0,66.95,CONFIRMED
2715695,7.55842923,2.91,361.1,1.46,0.742,10.3,0.619,4791.0,4.577,694.0,54.85,CANDIDATE
10587105,35.8656484,8.035,250.9,2.44,1.189,26.2,0.963,6078.0,4.29,633.0,37.92,CONFIRMED
8558011,0.638162933,1.2313,109.7,0.91,0.888,17.6,0.092,5244.0,4.449,1874.0,2928.31,CONFIRMED
7885494,1.72929014,3.609,84.5,0.86,0.94,9.6,0.089,5910.0,4.505,1497.0,1187.75,FALSE POSITIVE
5281714,40.301684,1.398,374.8,2.38,1.177,6.6,0.5721,6429.0,4.372,623.0,35.6,FALSE POSITIVE
5283728,43.681309,12.37,258.0,1.33,0.829,9.8,0.257,5726.0,4.564,473.0,11.86,CANDIDATE
5289857,26.524553,2.359,174.5,2.19,1.703,10.2,0.218,4995.0,3.954,695.0,55.06,FALSE POSITIVE
5303185,26.1537851,1.802,228.6,1.47,0.967,6.2,0.2437,6091.0,4.487,631.0,37.53,FALSE POSITIVE
5308777,0.944598153,4.018,200.9,37.61,9.214,35.3,1.012,4877.0,2.839,4190.0,72795.2,FALSE POSITIVE
5364090,354.63284,2.227,280.9,0.9,0.535,6.5,0.3134,4206.0,4.703,152.0,0.13,FALSE POSITIVE
5370944,35.40103336,1.75,,,,,,,,,,FALSE POSITIVE
5374838,230.180357,13.436,3689.3,7.57,1.246,64.0,0.102,6313.0,4.364,347.0,3.41,CANDIDATE
6364143,5.2433865,12.472,65.4,0.75,0.902,19.2,0.489,6011.0,4.522,1038.0,274.95,FALSE POSITIVE
6364307,5.2435703,15.864,228.5,12.68,0.722,25.1,1.145,5558.0,4.621,890.0,148.79,FALSE POSITIVE
6366559,55.7583803,2.497,132.7,1.59,1.403,9.0,0.01,5413.0,4.107,537.0,19.6,CANDIDATE
6367663,3.781123,8.15,90.4,1.16,1.216,9.0,0.004,6318.0,4.247,1421.0,962.72,CANDIDATE
6368905,220.720142,8.186,862.5,2.0,0.696,12.0,0.113,5150.0,4.634,235.0,0.72,CANDIDATE
6369548,634.84739,16.186,542.6,20.5,8.611,15.7,0.565,5048.0,2.978,464.0,10.97,FALSE POSITIVE
6372194,281.5921577,5.673,9312.0,7.22,0.713,76.0,0.641,5330.0,4.627,225.0,0.61,CANDIDATE
6387557,103.722152,6.061,296.9,1.95,1.143,9.4,0.017,5784.0,4.33,414.0,6.92,CANDIDATE
3098843,29.9756697,2.987,258.0,1.84,0.986,12.0,0.8708,5893.0,4.462,591.0,28.85,FALSE POSITIVE
3958301,387.56519,13.28,1083.0,4.02,1.02,11.8,0.916,6289.0,4.454,271.0,1.28,FALSE POSITIVE
5353137,31.5073649,7.362,330.5,0.74,0.37,15.4,0.774,3554.0,4.888,253.0,0.97,FALSE POSITIVE
4932689,18.1118457,6.309,328.7,31.25,1.138,10.8,1.235,6434.0,4.394,803.0,98.09,FALSE POSITIVE
5294945,32.5474295,6.945,157.1,1.42,1.061,11.3,0.709,6068.0,4.384,618.0,34.42,CANDIDATE
7742408,33.4969115,4.833,163.5,2.97,1.688,13.2,0.961,4928.0,3.966,630.0,37.3,CONFIRMED
3968809,411.8969,6.203,502.8,2.61,1.144,8.5,0.4026,6362.0,4.408,279.0,1.43,CANDIDATE
3970397,34.33339948,2.45,,,,,,,,,,FALSE POSITIVE
